Time [ms],CPU usage [%],GC activity [%],Size [B],Used [B]
"9:36:16.655 PM, Apr 22, 2015",98.3,4.7,4361027584,1646701552
"9:36:17.655 PM, Apr 22, 2015",74,4.9,4361027584,1644623344
"9:36:18.655 PM, Apr 22, 2015",100,3.5,4361027584,2341151360
"9:36:19.655 PM, Apr 22, 2015",51.8,9.6,4458545152,902249696
"9:36:20.788 PM, Apr 22, 2015",0,0,4458545152,902249696
"9:36:21.655 PM, Apr 22, 2015",78.9,1,4458545152,980225720
"9:36:22.655 PM, Apr 22, 2015",95.5,2.8,4423942144,1691550080
"9:36:23.655 PM, Apr 22, 2015",97.5,2,4394582016,1331674224
"9:36:24.655 PM, Apr 22, 2015",94,0.1,4376231936,1496309096
"9:36:25.656 PM, Apr 22, 2015",80.8,1,4325900288,1457639296
"9:36:26.658 PM, Apr 22, 2015",95.7,3.3,4341104640,1187246352
"9:36:27.656 PM, Apr 22, 2015",94.4,0.3,4388814848,1459239256
"9:36:28.656 PM, Apr 22, 2015",100,0.1,4399300608,1300695464
"9:36:29.656 PM, Apr 22, 2015",78.2,0.9,4337434624,1836014008
"9:36:30.656 PM, Apr 22, 2015",94.8,1.5,4456448000,2896279848
"9:36:31.656 PM, Apr 22, 2015",95.6,3.2,4440719360,1512081752
"9:36:32.656 PM, Apr 22, 2015",96.5,0.1,4402970624,2821944536
"9:36:33.656 PM, Apr 22, 2015",76.4,0,4441767936,3102885960
"9:36:34.657 PM, Apr 22, 2015",37.9,10,4285005824,844605232
"9:36:37.060 PM, Apr 22, 2015",0,0,4285005824,844605232
"9:36:37.061 PM, Apr 22, 2015",0,0,4285005824,844605232
"9:36:37.657 PM, Apr 22, 2015",95.6,0,4285005824,2833566248
"9:36:38.657 PM, Apr 22, 2015",95.4,0,4293394432,1687799080
"9:36:39.657 PM, Apr 22, 2015",98.5,0,4269801472,2073177976
"9:36:40.657 PM, Apr 22, 2015",88,1.1,4315414528,2902766216
"9:36:41.657 PM, Apr 22, 2015",93.7,3.1,4315414528,1003089904
"9:36:42.657 PM, Apr 22, 2015",96.4,1.6,4315414528,1202746736
"9:36:43.658 PM, Apr 22, 2015",96.8,0.9,4286578688,1550702720
"9:36:44.658 PM, Apr 22, 2015",81.1,1.1,4315414528,2034520008
"9:36:45.658 PM, Apr 22, 2015",96.6,1.7,4315414528,2583467240
"9:36:46.658 PM, Apr 22, 2015",100,2,4315414528,2892458640
"9:36:47.658 PM, Apr 22, 2015",90.3,1.9,4305977344,2998809328
"9:36:48.658 PM, Apr 22, 2015",76.1,1.3,4307025920,1125343744
"9:36:49.658 PM, Apr 22, 2015",91.6,1.8,4296540160,1394245120
"9:36:50.658 PM, Apr 22, 2015",97.5,0.1,4305977344,2206282024
"9:36:51.658 PM, Apr 22, 2015",99.6,0,4294967296,2766394288
"9:36:52.658 PM, Apr 22, 2015",77.2,0,4301258752,3166238232
"9:36:53.659 PM, Apr 22, 2015",88.4,3.3,4315414528,1308746112
"9:36:54.659 PM, Apr 22, 2015",98.6,2,4315414528,1306795248
"9:36:55.659 PM, Apr 22, 2015",93.4,1.3,4311220224,1422323400
"9:36:56.659 PM, Apr 22, 2015",83.5,0.9,4284481536,1602891032
"9:36:57.659 PM, Apr 22, 2015",95.2,1.7,4315414528,2100886864
"9:36:58.659 PM, Apr 22, 2015",32.9,10.4,4341104640,884162992
"9:37:01.068 PM, Apr 22, 2015",0,0,4341104640,884162992
"9:37:01.080 PM, Apr 22, 2015",0,0,4341104640,884162992
"9:37:01.659 PM, Apr 22, 2015",86.9,0,4341104640,2967966024
"9:37:02.660 PM, Apr 22, 2015",98.2,0,4341628928,1225559608
"9:37:03.660 PM, Apr 22, 2015",76.8,1.6,4334288896,1051798800
"9:37:04.660 PM, Apr 22, 2015",89.9,1.8,4341628928,1377267672
"9:37:05.660 PM, Apr 22, 2015",99.2,1.5,4341628928,1829492160
"9:37:06.660 PM, Apr 22, 2015",94.4,1.4,4341628928,2324742008
"9:37:07.660 PM, Apr 22, 2015",80.6,0,4321181696,2391272400
"9:37:08.660 PM, Apr 22, 2015",95.7,1.3,4341628928,3073582296
"9:37:09.660 PM, Apr 22, 2015",90.7,3,4333240320,1149701184
"9:37:10.660 PM, Apr 22, 2015",96.4,0.1,4326424576,1849028728
"9:37:11.661 PM, Apr 22, 2015",79.7,0,4317511680,1762755552
"9:37:12.661 PM, Apr 22, 2015",96.8,1.5,4341628928,2544863256
"9:37:13.661 PM, Apr 22, 2015",96.6,1.5,4341628928,3166474224
"9:37:14.661 PM, Apr 22, 2015",94.9,2.9,4341628928,1276143472
"9:37:15.661 PM, Apr 22, 2015",78.9,0,4341628928,3140884720
"9:37:16.672 PM, Apr 22, 2015",94.5,2.7,4341628928,1431717648
"9:37:17.672 PM, Apr 22, 2015",37,10,4416602112,846285824
"9:37:20.143 PM, Apr 22, 2015",0,0,4416602112,846285824
"9:37:20.144 PM, Apr 22, 2015",0,0,4416602112,846285824
"9:37:20.673 PM, Apr 22, 2015",98.8,0,4416602112,2430110976
"9:37:21.673 PM, Apr 22, 2015",96.7,0,4411359232,1003719384
"9:37:22.673 PM, Apr 22, 2015",81.1,1,4399300608,1162708712
"9:37:23.673 PM, Apr 22, 2015",95.3,1.6,4416602112,1726981440
"9:37:24.673 PM, Apr 22, 2015",95.8,1.5,4416602112,2342183304
"9:37:25.673 PM, Apr 22, 2015",95.9,1.4,4416602112,2712524984
"9:37:26.673 PM, Apr 22, 2015",86.7,1,4416602112,2357369032
"9:37:27.674 PM, Apr 22, 2015",96,1.4,4415029248,2967689368
"9:37:28.674 PM, Apr 22, 2015",94.4,2.9,4416602112,1084080752
"9:37:29.674 PM, Apr 22, 2015",96.2,1.4,4416602112,1397175280
"9:37:30.674 PM, Apr 22, 2015",78.9,0,4406640640,1259733808
"9:37:31.674 PM, Apr 22, 2015",93.6,1.5,4416602112,2136823432
"9:37:32.674 PM, Apr 22, 2015",95.4,1.7,4416602112,2731816208
"9:37:33.674 PM, Apr 22, 2015",94.6,1.5,4416602112,3204039480
"9:37:34.674 PM, Apr 22, 2015",96.6,1.5,4413980672,2970383448
"9:37:35.675 PM, Apr 22, 2015",78.6,1,4416602112,3036134864
"9:37:36.675 PM, Apr 22, 2015",95.9,1.9,4369416192,3352018656
